gbifID,occurrenceID,kingdom,phylum,class,order,family,genus,species,taxonRank,countryCode,locality,stateProvince,eventDate,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,identifiedBy,dateIdentified,recordedBy
2447224078,a8b47a74-0ed0-421e-931d-c675d2367a5d,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,,,ORDER,PH,"Irosin, Mt. Bulusan",Sorsogon,1916-07-01 0:00:00,1499,,PRESERVED_SPECIMEN,F,Botany,,,A. D. E. Elmer
2447224024,7d34edbb-e530-40c0-bb60-d5b416cfaf6d,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Schizophyllaceae,Schizophyllum,Schizophyllum commune,SPECIES,PH,Dumaguete,Negros Oriental,1908-04-01 0:00:00,5241128,5241128,PRESERVED_SPECIMEN,F,Botany,,,A. D. E. Elmer
2447223973,4bf0e6c0-4cc5-41c3-84ee-f58280fda22e,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,,,ORDER,PH,"Irosin, Mt. Bulusan",Sorsogon,1916-09-01 0:00:00,1499,,PRESERVED_SPECIMEN,F,Botany,,,A. D. E. Elmer
2447223940,2d094111-979d-4f16-a041-58ee7f0893e6,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Schizophyllaceae,Schizophyllum,Schizophyllum commune,SPECIES,PH,"Puerto Princesa, Mt. Pulgar",Palawan,1911-05-01 0:00:00,5241128,5241128,PRESERVED_SPECIMEN,F,Botany,W. B. Cooke,1960-01-01 0:00:00,A. D. E. Elmer
2447221144,e5eae5c8-ae0c-4ff6-986b-9a73a0970cd7,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,,,ORDER,PH,"Irosin, Mt. Bulusan",Sorsogon,1916-09-01 0:00:00,1499,,PRESERVED_SPECIMEN,F,Botany,,,A. D. E. Elmer
2447221129,d54428f5-5713-4297-a07e-ec89f20861fa,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Schizophyllaceae,Schizophyllum,Schizophyllum commune,SPECIES,PH,Bontoc,Mountain,1913-04-01 0:00:00,5241128,5241128,PRESERVED_SPECIMEN,F,Botany,,,M. Vanoverbergh
2447221039,7646fad2-defa-4041-b707-7223c7ea2032,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,,,ORDER,PH,"Irosin, Mt. Bulusan",Sorsogon,1916-07-01 0:00:00,1499,,PRESERVED_SPECIMEN,F,Botany,,,A. D. E. Elmer
2447220140,e76c68b4-2a95-410d-aadd-13ccf674943a,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,,,ORDER,PH,"Irosin, Mt. Bulusan",Sorsogon,1916-08-01 0:00:00,1499,,PRESERVED_SPECIMEN,F,Botany,,,A. D. E. Elmer
2447219968,401bebc6-96ca-4f0c-87fb-6cba608b3116,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,,,ORDER,PH,"Irosin, Mt. Bulusan",Sorsogon,1916-07-01 0:00:00,1499,,PRESERVED_SPECIMEN,F,Botany,,,A. D. E. Elmer
2447219178,fabe3eb8-92bd-4d1f-b6fb-b26f69ad828c,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Schizophyllaceae,Schizophyllum,Schizophyllum commune,SPECIES,PH,,Iloilo,1912-12-27 0:00:00,5241128,5241128,PRESERVED_SPECIMEN,F,Botany,,,C. B. Robinson
