gbifID,kingdom,phylum,class,order,family,genus,species,taxonRank,countryCode,locality,stateProvince,eventDate,taxonKey,speciesKey,basisOfRecord,institutionCode,identifiedBy,dateIdentified,recordedBy
2236100321,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Medinilla,Medinilla magnifica,SPECIES,PH,"Province of Laguna, Luzon.",Calabarzon,,3188507,3188507,PRESERVED_SPECIMEN,US,,,R. C. McGregor
2236100134,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Medinilla,Medinilla halconensis,SPECIES,PH,"Mt. Umingan, Province of Nueva Ecija, Luzon.",Central Luzon,,3866983,3866983,PRESERVED_SPECIMEN,US,,,M. Ramos & G. Edaño
2236100065,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Combretaceae,Combretum,Combretum indicum,SPECIES,PH,"Alcala, Vicinity of Peñablanca, Cagayan Province, Luzon.",,1917-05-01 0:00:00,8040307,3699632,PRESERVED_SPECIMEN,US,,,M. Adduru
2236099972,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Syzygium,Syzygium tripinnatum,SPECIES,PH,"Antipolo, Prov. of Rizal, Luzon.",,,3183057,3183057,PRESERVED_SPECIMEN,US,,,Ahern's collector
2236099756,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Medinilla,Medinilla lagunae,SPECIES,PH,"Benguet Subprovince, Luzon.",Cordillera (Administrative Region),,3866607,3866607,PRESERVED_SPECIMEN,US,,,E. D. Merrill
2236099679,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Melastoma,Melastoma malabathricum,SPECIES,PH,"Lamao River, Mt. Mariveles, Province of Bataan, Luzon.",Central Luzon,,3188511,3188511,PRESERVED_SPECIMEN,US,,,T. E. Borden
2236099647,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Medinilla,Medinilla pendula,SPECIES,PH,"Baguio, Province of Benguet, Luzon.",Cordillera (Administrative Region),,3865291,3865291,PRESERVED_SPECIMEN,US,,,A. D. E. Elmer
2236099502,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Decaspermum,Decaspermum fruticosum,SPECIES,PH,"Lucban, Province Tayabas, Island Luzon.",,,3180140,3180140,PRESERVED_SPECIMEN,US,,,A. D. E. Elmer
2236099206,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Melastoma,Melastoma toppingii,SPECIES,PH,"Baguio, Prov. Benguet, Northern Luzon.",Cordillera (Administrative Region),1904-06-04 0:00:00,3869531,3869531,PRESERVED_SPECIMEN,US,,,R. S. Williams
2236099175,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Lythraceae,Cuphea,Cuphea carthagenensis,SPECIES,PH,Along the side of the highway. Atuyan canyon. 30 km. south of cagayan de oro misamis Oriental.,,1950-06-02 0:00:00,3188685,3188685,PRESERVED_SPECIMEN,US,,,J. Santos
